timestamp,open,high,low,close,volume
2020-02-13,114.1700,114.9000,113.9500,114.4000,409848
2020-02-12,114.9000,115.0550,112.9400,114.0600,582609
2020-02-11,115.7200,116.6824,114.6800,114.8000,462961
2020-02-10,114.1200,115.8500,114.0067,115.7300,941261
2020-02-07,115.9700,116.3000,114.2400,114.3300,959451
2020-02-06,117.2100,117.2300,115.5338,115.8500,910589
2020-02-05,119.2400,119.2500,115.9000,116.4700,1020182
2020-02-04,118.9400,120.2300,118.4600,118.6700,867005
2020-02-03,117.2800,118.8900,117.0300,117.7900,719195
2020-01-31,115.8500,116.8000,115.5500,116.4600,912291
2020-01-30,115.2500,116.1200,113.4000,115.9600,990352
2020-01-29,112.1500,115.7700,109.7600,115.3400,1275157
2020-01-28,109.8300,111.5900,109.8000,111.1400,1058563
2020-01-27,109.1300,110.2800,109.0000,109.7800,979580
2020-01-24,109.6600,110.2900,109.2400,110.2100,695936
2020-01-23,109.0500,109.6800,108.4800,109.6300,483220
2020-01-22,109.3800,109.4500,108.2200,109.1400,585913
